,Sods,Fats,Carbs,Prots,Cals
Nonfat Caramel Latte (Small),110,0,41,10,200
Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),2290,50,115,35,1050
Sausage Burrito,790,16,26,12,300
Premium McWrap Chicken Sweet Chili (Crispy Chicken),1260,23,61,23,540
Double Cheeseburger,1040,21,35,24,430
Nonfat Latte with Sugar Free French Vanilla Syrup (Small),150,0,24,10,140
Sprite (Medium),45,0,54,0,200
Caramel Iced Coffee (Large),65,9,43,2,260
Chicken McNuggets (10 piece),900,30,30,22,470
Buffalo Ranch McChicken,990,16,40,14,360
Iced Nonfat Caramel Mocha (Small),140,5,38,8,230
Coca-Cola Classic (Large),5,0,76,0,280
Dr Pepper (Large),90,0,72,0,270
Caramel Mocha (Large),270,17,66,16,480
Dr Pepper (Small),45,0,37,0,140
"Steak, Egg & Cheese Bagel",1510,35,56,33,670
Diet Dr Pepper (Large),140,0,0,4,0
Strawberry Banana Smoothie (Medium),60,1,58,4,250
French Vanilla Latte (Medium),140,10,48,11,330
Nonfat Hazelnut Latte (Large),180,0.5,63,16,310
Big Breakfast with Egg Whites (Large Biscuit),1700,41,55,26,690
Hazelnut Latte (Small),115,9,40,9,270
Blueberry Pomegranate Smoothie (Medium),50,1,62,3,260
"Sausage, Egg & Cheese McGriddles with Egg Whites",1320,26,46,21,500
Nonfat Latte with Sugar Free French Vanilla Syrup (Large),240,0.5,38,16,220
Sweet Tea (Large),10,0,54,1,220
Chocolate Shake (Large),380,23,141,19,850
Caramel Latte (Medium),140,10,50,11,340
Hazelnut Iced Coffee (Large),75,9,43,2,250
Bacon McDouble,1110,22,35,27,440
Iced Mocha (Small),125,11,41,8,290
